,p_1,p_1_angles,p_2,p_2_angles,p_3,p_3_angles,p_4,p_4_angles,p_5,p_5_angles,p_6,p_6_angles,p_7,p_7_angles,p_8,p_8_angles,p_9,p_9_angles,p_10,p_10_angles,p_11,p_11_angles
graphs/new/nodes_9/depth_3//0.gml,0.7477384005752236,[-1.81138071  0.49415794],0.8322593111971427,[-1.70170644 -1.54048497 -1.25650809  2.87292801],0.8325352247548491,[ 2.96257129  3.41291309  1.7403517  -1.59043338  3.50558751 -3.16804755],0.8325352247548491,[ 2.96257129  3.41291309  1.7403517  -1.59043338  3.50558751 -3.16804755  0.          0.        ],0.9131738860518064,[ 1.56235749 -4.50009836  1.46542415  3.54069851  2.8696985  -1.16703549  2.86789096  0.15696058  0.44967078  2.98597467],0.9131738860518064,[ 1.56235749 -4.50009836  1.46542415  3.54069851  2.8696985  -1.16703549  2.86789096  0.15696058  0.44967078  2.98597467  0.          0.        ],0.9131738860518064,[ 1.56235749 -4.50009836  1.46542415  3.54069851  2.8696985  -1.16703549  2.86789096  0.15696058  0.44967078  2.98597467  0.          0.          0.          0.        ],0.9131738860518064,[ 1.56235749 -4.50009836  1.46542415  3.54069851  2.8696985  -1.16703549  2.86789096  0.15696058  0.44967078  2.98597467  0.          0.          0.          0.          0.          0.        ],0.9131738860518064,[ 1.56235749 -4.50009836  1.46542415  3.54069851  2.8696985  -1.16703549  2.86789096  0.15696058  0.44967078  2.98597467  0.          0.          0.          0.          0.          0.          0.          0.        ],0.9131738860518064,[ 1.56235749 -4.50009836  1.46542415  3.54069851  2.8696985  -1.16703549  2.86789096  0.15696058  0.44967078  2.98597467  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],0.9131738860518064,[ 1.56235749 -4.50009836  1.46542415  3.54069851  2.8696985  -1.16703549  2.86789096  0.15696058  0.44967078  2.98597467  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ]
graphs/new/nodes_9/depth_3//1.gml,0.8346399918138562,[1.81659859 2.75633434],0.8941410229005969,[-3.31255024  0.19151911  0.51198603  1.38457282],0.9034257699290236,[-0.22968221  2.51963378  0.30263934  1.64401694 -0.23182508 -2.18992703],0.9213380359626592,[ 0.16206828  1.02521037  0.28025001 -0.16410074 -0.45277934 -2.95438392  2.12237991  1.54087887],0.9213380359626592,[ 0.16206828  1.02521037  0.28025001 -0.16410074 -0.45277934 -2.95438392  2.12237991  1.54087887  0.          0.        ],0.9213380359626592,[ 0.16206828  1.02521037  0.28025001 -0.16410074 -0.45277934 -2.95438392  2.12237991  1.54087887  0.          0.          0.          0.        ],0.9280328678877102,[-1.76676486  3.29532196  0.37974795  1.14767615  3.29695206  0.6825362  -2.60566297  1.57538841  1.00685217 -0.40343611 -1.42817068  1.19482578 -1.16049521 -0.14915696],0.9441287537050884,[ 1.37211778 -0.54418683  0.04602228  0.75892553 -1.08598195  3.42896708 -0.08023485  0.8529204  -1.76687298  0.11414032 -4.10471318 -1.79280747  0.43544003 -3.32375629  1.48848421  1.62743692],0.949962120617377,[-1.76750292 -1.48212978 -2.2342119   3.12408122  0.98076069  2.62771926  1.47097416 -1.51129027  1.94970229  1.09456564 -2.82715788  3.04412081 -0.41274921  1.87537631 -0.42787606 -1.39541471 -3.60951973  0.12084663],0.9513133976980028,[-1.41923958  0.93672315  3.10644184  0.68744326  1.20429506 -3.06583214 -2.72820314  2.64436577  1.75151488 -1.44658868 -1.48559277 -1.73080488 -0.3820688  -1.28668272 -3.56527965 -1.21956858  2.78788994  1.67887961 -2.67584974 -0.1923149 ],0.9513133976980028,[-1.41923958  0.93672315  3.10644184  0.68744326  1.20429506 -3.06583214 -2.72820314  2.64436577  1.75151488 -1.44658868 -1.48559277 -1.73080488 -0.3820688  -1.28668272 -3.56527965 -1.21956858  2.78788994  1.67887961 -2.67584974 -0.1923149   0.          0.        ]
graphs/new/nodes_9/depth_3//2.gml,0.7813207214697837,[1.30300705 1.94108099],0.8244677626569078,[-1.35668487 -0.51865946  0.38356236 -0.28634536],0.8589055401084401,[-1.20958039  1.71781034  2.92030348 -1.94705827  1.70649475  1.29203087],0.9261073054401464,[ 3.30441646  1.10995088  0.34021478  0.95245119  1.87842344  1.46080898 -1.9478276  -2.79331642],0.9261073054401464,[ 3.30441646  1.10995088  0.34021478  0.95245119  1.87842344  1.46080898 -1.9478276  -2.79331642  0.          0.        ],0.9539341553007128,[-0.24331735  1.16486596 -3.0525306  -0.60789726 -0.39182771 -1.24907432  2.74281218 -1.40953431 -2.48106807 -1.6534347  -2.34557512  1.57339741],0.9602712312901868,[ 1.45100148  2.852747    3.32230323 -3.4123485   1.30867444 -1.10559141 -0.3014936   1.87248373 -1.44271611  0.11900299 -2.03445205  1.84036912  2.74069018 -2.9948157 ],0.9602712312901868,[ 1.45100148  2.852747    3.32230323 -3.4123485   1.30867444 -1.10559141 -0.3014936   1.87248373 -1.44271611  0.11900299 -2.03445205  1.84036912  2.74069018 -2.9948157   0.          0.        ],0.9602712312901868,[ 1.45100148  2.852747    3.32230323 -3.4123485   1.30867444 -1.10559141 -0.3014936   1.87248373 -1.44271611  0.11900299 -2.03445205  1.84036912  2.74069018 -2.9948157   0.          0.          0.          0.        ],0.9602712312901868,[ 1.45100148  2.852747    3.32230323 -3.4123485   1.30867444 -1.10559141 -0.3014936   1.87248373 -1.44271611  0.11900299 -2.03445205  1.84036912  2.74069018 -2.9948157   0.          0.          0.          0.          0.          0.        ],0.9602712312901868,[ 1.45100148  2.852747    3.32230323 -3.4123485   1.30867444 -1.10559141 -0.3014936   1.87248373 -1.44271611  0.11900299 -2.03445205  1.84036912  2.74069018 -2.9948157   0.          0.          0.          0.          0.          0.          0.          0.        ]
graphs/new/nodes_9/depth_3//3.gml,0.7876649466252545,[-0.20008208  1.86678444],0.7889993409939557,[2.94431621 0.29859485 1.25374982 3.20474472],0.7890323870355958,[ 2.00320512  1.5922199  -1.8052129   1.26852666  1.27132534 -1.50299738],0.7890323870355958,[ 2.00320512  1.5922199  -1.8052129   1.26852666  1.27132534 -1.50299738  0.          0.        ],0.9011953323466836,[ 0.13933492  1.13794381 -1.29488667 -2.34058725  3.07155206  0.75365551 -1.51350707 -1.02906055  3.06473277 -2.46891493],0.9011953323466836,[ 0.13933492  1.13794381 -1.29488667 -2.34058725  3.07155206  0.75365551 -1.51350707 -1.02906055  3.06473277 -2.46891493  0.          0.        ],0.9024058460919712,[ 2.99939838  2.30698241  1.75034144  0.00799797  1.44261831 -0.50332164 -2.70411806  2.09452203 -2.33142724  0.0096414  -2.20630885 -1.59272655  1.31979503  3.85307712],0.9024058460919712,[ 2.99939838  2.30698241  1.75034144  0.00799797  1.44261831 -0.50332164 -2.70411806  2.09452203 -2.33142724  0.0096414  -2.20630885 -1.59272655  1.31979503  3.85307712  0.          0.        ],0.9563763644782948,[-0.56179379 -0.01409565 -2.47359224 -1.65037306  0.14731276 -0.05356637 -0.52010656 -2.04681591  0.07817587 -2.12877733 -1.36340439 -1.55413829 -2.10916574  0.35622269 -1.42234963  1.58984494 -2.04147699  0.22957543],0.9563763644782948,[-0.56179379 -0.01409565 -2.47359224 -1.65037306  0.14731276 -0.05356637 -0.52010656 -2.04681591  0.07817587 -2.12877733 -1.36340439 -1.55413829 -2.10916574  0.35622269 -1.42234963  1.58984494 -2.04147699  0.22957543  0.          0.        ],0.9563763644782948,[-0.56179379 -0.01409565 -2.47359224 -1.65037306  0.14731276 -0.05356637 -0.52010656 -2.04681591  0.07817587 -2.12877733 -1.36340439 -1.55413829 -2.10916574  0.35622269 -1.42234963  1.58984494 -2.04147699  0.22957543  0.          0.          0.          0.        ]
graphs/new/nodes_9/depth_3//4.gml,0.8049135603404182,[-0.2292978   0.29847494],0.8434388874023709,[ 1.37223007 -3.51870433  1.13358802  3.36850741],0.8800610954423899,[-0.18592301  0.23082633 -1.08973272  1.7744833  -1.14946353 -1.76510399],0.9035298704424984,[-1.37000659  0.1633464  -2.1172805   1.07304175  0.06418542 -0.74240332 -0.54912743 -1.40297483],0.9207015015696282,[ 3.3378193   2.99898398 -0.42630085 -1.18904654 -1.49683433  3.25743079 -2.03521502 -1.34473186 -0.44715108 -1.41624478],0.9207015015696282,[ 3.3378193   2.99898398 -0.42630085 -1.18904654 -1.49683433  3.25743079 -2.03521502 -1.34473186 -0.44715108 -1.41624478  0.          0.        ],0.9207015015696282,[ 3.3378193   2.99898398 -0.42630085 -1.18904654 -1.49683433  3.25743079 -2.03521502 -1.34473186 -0.44715108 -1.41624478  0.          0.          0.          0.        ],0.9207015015696282,[ 3.3378193   2.99898398 -0.42630085 -1.18904654 -1.49683433  3.25743079 -2.03521502 -1.34473186 -0.44715108 -1.41624478  0.          0.          0.          0.          0.          0.        ],0.9669407020119404,[ 1.37054067  0.33915185  0.08608327  3.79495003 -0.29387618  0.32883236 -1.50891368 -1.15375567  1.45229283 -0.36920309  1.22636879 -1.25378567 -0.37501406 -1.357813   -0.42323874 -1.39382753 -2.06655608 -1.69435524],0.9669407020119404,[ 1.37054067  0.33915185  0.08608327  3.79495003 -0.29387618  0.32883236 -1.50891368 -1.15375567  1.45229283 -0.36920309  1.22636879 -1.25378567 -0.37501406 -1.357813   -0.42323874 -1.39382753 -2.06655608 -1.69435524  0.          0.        ],0.9669407020119404,[ 1.37054067  0.33915185  0.08608327  3.79495003 -0.29387618  0.32883236 -1.50891368 -1.15375567  1.45229283 -0.36920309  1.22636879 -1.25378567 -0.37501406 -1.357813   -0.42323874 -1.39382753 -2.06655608 -1.69435524  0.          0.          0.          0.        ]
graphs/new/nodes_9/depth_3//5.gml,0.6445924446361765,[-1.16209602  2.64676791],0.6469154855263627,[-2.22302375  0.23146194 -2.07613535 -0.41826197],0.8470315741361313,[ 1.52279702  2.9960449   1.42077329 -2.68469905  2.78748951 -2.85457232],0.8703189834496905,[-0.27484958  0.11428299 -2.62993436 -0.39799891 -2.78915006 -1.81992718 -1.8440666  -3.09812756],0.8703189834496905,[-0.27484958  0.11428299 -2.62993436 -0.39799891 -2.78915006 -1.81992718 -1.8440666  -3.09812756  0.          0.        ],0.8703189834496905,[-0.27484958  0.11428299 -2.62993436 -0.39799891 -2.78915006 -1.81992718 -1.8440666  -3.09812756  0.          0.          0.          0.        ],0.8703189834496905,[-0.27484958  0.11428299 -2.62993436 -0.39799891 -2.78915006 -1.81992718 -1.8440666  -3.09812756  0.          0.          0.          0.          0.          0.        ],0.9381175246380542,[-0.15964052 -4.17527078  2.83919886  2.03898313  1.52339823  1.63984556 -1.85435494 -1.21313433  2.42260744 -1.5037313   0.23948973 -2.00018104  0.09076521  0.64156697  1.46152928  1.63405936],0.956707185951342,[ 3.01760662 -2.62666118 -0.32492898  2.62351245  1.5808717   1.61608651 -1.51549322  2.62433141 -0.3810909   1.9394853  -0.38633655 -0.49875197  0.04772443  3.96574127 -2.0609584   0.02293791  1.63747988  0.15613586],0.956707185951342,[ 3.01760662 -2.62666118 -0.32492898  2.62351245  1.5808717   1.61608651 -1.51549322  2.62433141 -0.3810909   1.9394853  -0.38633655 -0.49875197  0.04772443  3.96574127 -2.0609584   0.02293791  1.63747988  0.15613586  0.          0.        ],0.956707185951342,[ 3.01760662 -2.62666118 -0.32492898  2.62351245  1.5808717   1.61608651 -1.51549322  2.62433141 -0.3810909   1.9394853  -0.38633655 -0.49875197  0.04772443  3.96574127 -2.0609584   0.02293791  1.63747988  0.15613586  0.          0.          0.          0.        ]
graphs/new/nodes_9/depth_3//6.gml,0.7787780911177669,[1.83312457 1.18371093],0.7787780911177669,[1.83312457 1.18371093 0.         0.        ],0.8085993754480826,[ 1.35987382  3.63169714  0.49575625 -1.57687693 -0.90220334 -4.47478483],0.8843520749367114,[ 2.94756333 -2.97804128 -1.73954489  1.03622975  0.03438614  0.617628    2.24723962  2.89139998],0.940384645708973,[ 2.92700169 -1.46783073  0.40884772  1.21501902  1.69076212  3.10277625  1.84062302  0.43027439 -0.06650625  2.44398391],0.9533963303874488,[-0.11572609 -2.64209652  1.59825135 -0.58093309 -0.04421512 -2.60475989 -1.95301673  2.63806307  0.06929605  0.90063559 -0.44224248 -1.4013159 ],0.9533963303874488,[-0.11572609 -2.64209652  1.59825135 -0.58093309 -0.04421512 -2.60475989 -1.95301673  2.63806307  0.06929605  0.90063559 -0.44224248 -1.4013159   0.          0.        ],0.9533963303874488,[-0.11572609 -2.64209652  1.59825135 -0.58093309 -0.04421512 -2.60475989 -1.95301673  2.63806307  0.06929605  0.90063559 -0.44224248 -1.4013159   0.          0.          0.          0.        ],0.973946732695253,[ 3.02845443  0.50710455 -0.23813002  1.98467729 -2.72255887  1.57672933 -0.6684622   0.30030118  2.79341138  0.99354325 -3.10730441  0.83306647 -1.97424107  1.93727182 -0.01428695  1.16919007 -1.59205488  0.12916838],0.973946732695253,[ 3.02845443  0.50710455 -0.23813002  1.98467729 -2.72255887  1.57672933 -0.6684622   0.30030118  2.79341138  0.99354325 -3.10730441  0.83306647 -1.97424107  1.93727182 -0.01428695  1.16919007 -1.59205488  0.12916838  0.          0.        ],0.973946732695253,[ 3.02845443  0.50710455 -0.23813002  1.98467729 -2.72255887  1.57672933 -0.6684622   0.30030118  2.79341138  0.99354325 -3.10730441  0.83306647 -1.97424107  1.93727182 -0.01428695  1.16919007 -1.59205488  0.12916838  0.          0.          0.          0.        ]
graphs/new/nodes_9/depth_3//7.gml,0.7082953232838604,[-1.26474669 -2.15800167],0.7158426570612666,[-1.37213922  0.2492475   2.52443787  0.48632842],0.841820517848499,[-1.6708614  -3.07682407 -1.7565103   2.69082452 -3.06904552 -2.35142984],0.8819400773838936,[ 1.60087241  2.39763482  1.29657365 -1.92252459  0.07599204  0.82832164 -3.59456053  0.23085421],0.8819400773838936,[ 1.60087241  2.39763482  1.29657365 -1.92252459  0.07599204  0.82832164 -3.59456053  0.23085421  0.          0.        ],0.90338490356184,[ 1.46116254  1.85411911  1.79802914 -1.97076148 -1.60660918  0.14886075  2.00031923 -2.87279035  2.97397119  2.43018178  2.9121424   0.26126084],0.9343858569676864,[-2.93562737  0.4021687   3.06555912 -0.9835707   0.45338881  2.02717257 -1.10485451 -0.00598544 -2.09920026  3.84997276  0.42391705  2.90050938 -2.72311549  2.99213949],0.9343858569676864,[-2.93562737  0.4021687   3.06555912 -0.9835707   0.45338881  2.02717257 -1.10485451 -0.00598544 -2.09920026  3.84997276  0.42391705  2.90050938 -2.72311549  2.99213949  0.          0.        ],0.9343858569676864,[-2.93562737  0.4021687   3.06555912 -0.9835707   0.45338881  2.02717257 -1.10485451 -0.00598544 -2.09920026  3.84997276  0.42391705  2.90050938 -2.72311549  2.99213949  0.          0.          0.          0.        ],0.940826914617021,[ 0.20349624 -1.68613527  2.59702669 -1.77950917 -1.61866055 -1.59480592 -1.38942946 -0.86077411 -2.88628343  3.06448076  3.85252035 -0.04940693  1.13287341 -1.60312003 -2.41258845 -1.3088629   2.79899529 -1.31539899 -0.41331183  3.29258223],0.940826914617021,[ 0.20349624 -1.68613527  2.59702669 -1.77950917 -1.61866055 -1.59480592 -1.38942946 -0.86077411 -2.88628343  3.06448076  3.85252035 -0.04940693  1.13287341 -1.60312003 -2.41258845 -1.3088629   2.79899529 -1.31539899 -0.41331183  3.29258223  0.          0.        ]
graphs/new/nodes_9/depth_3//8.gml,0.7235336967868651,[-1.35660105  0.37542178],0.7962593752598646,[ 0.21307259  2.78483644 -1.68211486  3.03855748],0.8040361900867312,[ 1.19197486 -1.45841201  1.73519871  1.95413358 -1.32372779 -1.48131808],0.88684204045161,[ 0.14693572  2.69857435 -1.42198188  3.16955876  1.81063004 -2.66002991  3.06690096  2.34325333],0.88684204045161,[ 0.14693572  2.69857435 -1.42198188  3.16955876  1.81063004 -2.66002991  3.06690096  2.34325333  0.          0.        ],0.88684204045161,[ 0.14693572  2.69857435 -1.42198188  3.16955876  1.81063004 -2.66002991  3.06690096  2.34325333  0.          0.          0.          0.        ],0.8953008740741182,[ 1.8768616  -0.16846576 -0.05354324  1.82602764 -1.99774511 -1.16602177  2.76394741 -0.46703895 -1.34330516 -3.19253775  1.41750502 -2.37129933  1.0778409   1.50043189],0.9509315785929896,[-3.01263121  1.07045627  0.25745209 -1.98808068  3.42613246  1.21452446 -1.69031608 -1.58536557  2.01836313  1.27646436  3.51581082  1.40394699 -1.96197429  1.51785204  0.06921556  0.05219628],0.9509315785929896,[-3.01263121  1.07045627  0.25745209 -1.98808068  3.42613246  1.21452446 -1.69031608 -1.58536557  2.01836313  1.27646436  3.51581082  1.40394699 -1.96197429  1.51785204  0.06921556  0.05219628  0.          0.        ],0.9509315785929896,[-3.01263121  1.07045627  0.25745209 -1.98808068  3.42613246  1.21452446 -1.69031608 -1.58536557  2.01836313  1.27646436  3.51581082  1.40394699 -1.96197429  1.51785204  0.06921556  0.05219628  0.          0.          0.          0.        ],0.9509315785929896,[-3.01263121  1.07045627  0.25745209 -1.98808068  3.42613246  1.21452446 -1.69031608 -1.58536557  2.01836313  1.27646436  3.51581082  1.40394699 -1.96197429  1.51785204  0.06921556  0.05219628  0.          0.          0.          0.          0.          0.        ]
graphs/new/nodes_9/depth_3//9.gml,0.7800469053280523,[-0.26025173 -2.80385015],0.7803283734425096,[-3.40353329  1.9077969  -1.66310032 -1.54650652],0.8230287543588706,[-0.24624474  1.7703322  -1.8678899  -1.59564078  2.45198699 -3.38314054],0.8306036944588938,[-1.28491387  3.00339243 -3.46513949 -1.91653622 -1.26127261  1.39268388  2.56068221  0.26327833],0.9162438259471108,[ 2.85875007 -3.02378762 -2.52423702 -1.09766218  3.022736   -1.00071371  0.44288935 -1.90507899 -2.74738649  1.35234692],0.9171602394118256,[ 1.58595535  2.29874785 -1.41680402 -0.4989528   0.38468799 -1.05448269 -0.09025179  2.1427777   3.71670504 -2.63456186 -0.0923357  -2.34333371],0.925754539254974,[ 0.25864286 -1.68770043  2.66703544 -1.13975874 -0.30972547  1.96420586 -1.92113075  0.8338451  -1.58488809 -2.83192878  1.56644273  2.2743826  -1.95476606 -1.37727565],0.925754539254974,[ 0.25864286 -1.68770043  2.66703544 -1.13975874 -0.30972547  1.96420586 -1.92113075  0.8338451  -1.58488809 -2.83192878  1.56644273  2.2743826  -1.95476606 -1.37727565  0.          0.        ],0.925754539254974,[ 0.25864286 -1.68770043  2.66703544 -1.13975874 -0.30972547  1.96420586 -1.92113075  0.8338451  -1.58488809 -2.83192878  1.56644273  2.2743826  -1.95476606 -1.37727565  0.          0.          0.          0.        ],0.925754539254974,[ 0.25864286 -1.68770043  2.66703544 -1.13975874 -0.30972547  1.96420586 -1.92113075  0.8338451  -1.58488809 -2.83192878  1.56644273  2.2743826  -1.95476606 -1.37727565  0.          0.          0.          0.          0.          0.        ],0.925754539254974,[ 0.25864286 -1.68770043  2.66703544 -1.13975874 -0.30972547  1.96420586 -1.92113075  0.8338451  -1.58488809 -2.83192878  1.56644273  2.2743826  -1.95476606 -1.37727565  0.          0.          0.          0.          0.          0.          0.          0.        ]
graphs/new/nodes_9/depth_3//10.gml,0.839849963209302,[ 0.19474224 -0.28104924],0.8405734890549226,[-1.90473999  1.53548234  1.70866803 -1.28483351],0.8781161738311254,[ 1.75165704  2.9329299  -2.01239384  2.66314274  0.05771462 -0.77070406],0.8968349905524766,[-1.60149853  0.49723301 -1.76439237 -0.71374569 -3.09711323  0.96648694  0.59241344  1.39013363],0.8968349905524766,[-1.60149853  0.49723301 -1.76439237 -0.71374569 -3.09711323  0.96648694  0.59241344  1.39013363  0.          0.        ],0.8968349905524766,[-1.60149853  0.49723301 -1.76439237 -0.71374569 -3.09711323  0.96648694  0.59241344  1.39013363  0.          0.          0.          0.        ],0.918418791663843,[-2.20810514  1.58268085  2.42101322 -0.12593147  0.51161978 -1.60473135 -2.39439434  1.63108538  1.38302752 -2.23687441  3.19716882  0.90316398  0.54940692 -0.13644849],0.918418791663843,[-2.20810514  1.58268085  2.42101322 -0.12593147  0.51161978 -1.60473135 -2.39439434  1.63108538  1.38302752 -2.23687441  3.19716882  0.90316398  0.54940692 -0.13644849  0.          0.        ],0.918418791663843,[-2.20810514  1.58268085  2.42101322 -0.12593147  0.51161978 -1.60473135 -2.39439434  1.63108538  1.38302752 -2.23687441  3.19716882  0.90316398  0.54940692 -0.13644849  0.          0.          0.          0.        ],0.918418791663843,[-2.20810514  1.58268085  2.42101322 -0.12593147  0.51161978 -1.60473135 -2.39439434  1.63108538  1.38302752 -2.23687441  3.19716882  0.90316398  0.54940692 -0.13644849  0.          0.          0.          0.          0.          0.        ],0.918418791663843,[-2.20810514  1.58268085  2.42101322 -0.12593147  0.51161978 -1.60473135 -2.39439434  1.63108538  1.38302752 -2.23687441  3.19716882  0.90316398  0.54940692 -0.13644849  0.          0.          0.          0.          0.          0.          0.          0.        ]
graphs/new/nodes_9/depth_3//11.gml,0.8119607687716598,[ 2.91673879 -1.25521896],0.8199906252076403,[-0.20460248  1.84128837  2.08973649  3.01572224],0.8199906252076403,[-0.20460248  1.84128837  2.08973649  3.01572224  0.          0.        ],0.8199906252076403,[-0.20460248  1.84128837  2.08973649  3.01572224  0.          0.          0.          0.        ],0.8199906252076403,[-0.20460248  1.84128837  2.08973649  3.01572224  0.          0.          0.          0.          0.          0.        ],0.8946857132709912,[-0.1582598   2.02828722 -1.8492936  -1.21324658  2.86099797  3.06307744  1.70803091  0.34328625  1.77628748  1.72801627 -0.03949203  1.14056077],0.9462139344659574,[ 2.95804496  0.65001396  2.87126767 -0.91946491 -2.02527239  1.55694784  1.68919114  1.7013049   0.40418663  2.652232    0.43656982  1.38855288 -0.59653812 -1.41893485],0.9462139344659574,[ 2.95804496  0.65001396  2.87126767 -0.91946491 -2.02527239  1.55694784  1.68919114  1.7013049   0.40418663  2.652232    0.43656982  1.38855288 -0.59653812 -1.41893485  0.          0.        ],0.9840641037244544,[-0.10511025 -2.63362311  2.84483014  4.1917422  -3.07491644 -0.53007652 -0.34439627  1.91072695  2.87185857  0.31082221 -0.28074047  1.8503842   2.70215352 -1.43969623 -2.46192805 -1.67373365  0.60273029 -1.61057034],0.9840641037244544,[-0.10511025 -2.63362311  2.84483014  4.1917422  -3.07491644 -0.53007652 -0.34439627  1.91072695  2.87185857  0.31082221 -0.28074047  1.8503842   2.70215352 -1.43969623 -2.46192805 -1.67373365  0.60273029 -1.61057034  0.          0.        ],0.9840641037244544,[-0.10511025 -2.63362311  2.84483014  4.1917422  -3.07491644 -0.53007652 -0.34439627  1.91072695  2.87185857  0.31082221 -0.28074047  1.8503842   2.70215352 -1.43969623 -2.46192805 -1.67373365  0.60273029 -1.61057034  0.          0.          0.          0.        ]
graphs/new/nodes_9/depth_3//12.gml,0.7893064249636013,[ 1.31314448 -0.94358216],0.7974924073110478,[ 1.79877048  2.57960085  2.77448312 -2.94446712],0.8971056983816162,[ 2.92568645 -0.64585502 -2.85397189  3.2126148   2.9201233   2.54958262],0.901472370700144,[ 1.86599191 -0.03815325  1.11508639 -2.7552071  -1.04755429 -3.12567954 -2.44495582  1.80281232],0.901472370700144,[ 1.86599191 -0.03815325  1.11508639 -2.7552071  -1.04755429 -3.12567954 -2.44495582  1.80281232  0.          0.        ],0.901472370700144,[ 1.86599191 -0.03815325  1.11508639 -2.7552071  -1.04755429 -3.12567954 -2.44495582  1.80281232  0.          0.          0.          0.        ],0.901472370700144,[ 1.86599191 -0.03815325  1.11508639 -2.7552071  -1.04755429 -3.12567954 -2.44495582  1.80281232  0.          0.          0.          0.          0.          0.        ],0.9376814858833392,[ 0.18811389 -2.86646197 -3.26680495 -0.58917729  0.81096941 -3.12379818 -0.9979902  -1.41182184 -2.84084911 -0.27209802  2.63706985 -0.95108337  0.02994094  2.56287102 -2.12608412 -0.12169681],0.9376814858833392,[ 0.18811389 -2.86646197 -3.26680495 -0.58917729  0.81096941 -3.12379818 -0.9979902  -1.41182184 -2.84084911 -0.27209802  2.63706985 -0.95108337  0.02994094  2.56287102 -2.12608412 -0.12169681  0.          0.        ],0.9376814858833392,[ 0.18811389 -2.86646197 -3.26680495 -0.58917729  0.81096941 -3.12379818 -0.9979902  -1.41182184 -2.84084911 -0.27209802  2.63706985 -0.95108337  0.02994094  2.56287102 -2.12608412 -0.12169681  0.          0.          0.          0.        ],0.9376814858833392,[ 0.18811389 -2.86646197 -3.26680495 -0.58917729  0.81096941 -3.12379818 -0.9979902  -1.41182184 -2.84084911 -0.27209802  2.63706985 -0.95108337  0.02994094  2.56287102 -2.12608412 -0.12169681  0.          0.          0.          0.          0.          0.        ]
graphs/new/nodes_9/depth_3//13.gml,0.656659884243929,[-1.76912561 -1.23413623],0.6664710577558609,[2.25880305 1.24251934 1.88807152 1.94860673],0.8967454032244782,[ 1.66255115  3.13554284 -1.94572506  0.1990126   0.61255357 -1.83569405],0.9253741108553593,[ 1.60191758 -0.79914639 -1.34508849  1.07245157 -1.00556177  3.16203441 -1.73273164 -1.84925769],0.9604334818914956,[-0.29080723  3.23015704 -2.6480701   0.60078551  3.04293463  0.72016321 -0.44319583  0.26801673 -0.48736747  1.70754736],0.9604334818914956,[-0.29080723  3.23015704 -2.6480701   0.60078551  3.04293463  0.72016321 -0.44319583  0.26801673 -0.48736747  1.70754736  0.          0.        ],0.9604334818914956,[-0.29080723  3.23015704 -2.6480701   0.60078551  3.04293463  0.72016321 -0.44319583  0.26801673 -0.48736747  1.70754736  0.          0.          0.          0.        ],0.9714526873349224,[-0.15740696  2.16009777  2.7952424  -1.10072572 -1.61012628  3.12473106 -2.01282417 -2.99391327 -1.3043189  -3.16599124 -1.22268851  1.35123255  0.59454184  1.4560971   2.45267444 -1.50856495],0.9820254602380688,[ 0.15294562 -0.57514962  1.83044921  1.34140686  1.62412011 -2.0323437   1.4830787   0.16881101 -1.03109354  0.54770864 -0.06349773 -0.92274328  0.57427132  3.01701843 -0.61748195 -1.47727109 -0.68741641  1.63277238],0.9820254602380688,[ 0.15294562 -0.57514962  1.83044921  1.34140686  1.62412011 -2.0323437   1.4830787   0.16881101 -1.03109354  0.54770864 -0.06349773 -0.92274328  0.57427132  3.01701843 -0.61748195 -1.47727109 -0.68741641  1.63277238  0.          0.        ],0.9820254602380688,[ 0.15294562 -0.57514962  1.83044921  1.34140686  1.62412011 -2.0323437   1.4830787   0.16881101 -1.03109354  0.54770864 -0.06349773 -0.92274328  0.57427132  3.01701843 -0.61748195 -1.47727109 -0.68741641  1.63277238  0.          0.          0.          0.        ]
