path,r_1,r_1_angles,r_2,r_2_angles,r_2_nfev,r_3,r_3_angles,r_3_nfev,r_4,r_4_angles,r_4_nfev,r_5,r_5_angles,r_5_nfev,r_6,r_6_angles,r_6_nfev
graphs/new/nodes_10/depth_3//0.gml,0.7383369660366416,[-0.80057405 -0.42175921 -0.89705629 -2.2199521   0.53364208  1.89605774 -2.88759383 -1.70124931 -2.13228565  0.1959455   0.33443367 -0.647727   -2.93008642  0.08611897 -1.20202383  0.78955288],0.7470089284639944,[ 0.23567284 -1.08615936  0.76049238 -1.73218011  0.97022499 -1.49958033 -0.55063999  2.8448801   0.75349717 -0.81928583 -1.85306818 -2.14380328 -0.60249739  1.9097249  -1.55630084  0.15175925],1173,0.9298287762757113,[-0.11742288 -1.12578625 -1.63690316 -1.10210405  0.07161152  1.3284199   1.278461    2.03452895  0.85700023  1.59190586 -1.11498576  1.70086485 -2.78489488  2.96675836  1.076799   -1.49669722],2788,0.9298287762757113,[-0.11742288 -1.12578625 -1.63690316 -1.10210405  0.07161152  1.3284199   1.278461    2.03452895  0.85700023  1.59190586 -1.11498576  1.70086485 -2.78489488  2.96675836  1.076799   -1.49669722],2856,0.9345943147107983,[-3.0343387  -2.01691771  3.42647001 -1.01981981  3.09394614  0.60184852 -1.15282491  4.52401275  3.23043961 -1.25656056 -2.74233082 -1.55454247  1.07484061 -0.18839731  1.7442868  -1.77534939],3995,0.9428091650209076,[-0.17750802 -1.48013981 -2.81906966 -1.96980639  0.22122935  1.19611466  0.38634847  0.42880297  2.96971496 -1.62246583  0.12909956  2.56273355 -0.51858163  0.08211026 -1.80701656  1.57971134],3230
graphs/new/nodes_10/depth_3//1.gml,0.9438717581407846,[-0.0412949  -1.22961091  1.57292012 -0.77050918  1.35199818 -2.12132913 -3.11554956 -0.84609606 -2.61517144 -1.32195271 -0.16804088 -2.26333113 -0.19873849 -1.24370201 -0.44511226  0.11875908],0.9438717581407846,[-0.0412949  -1.22961091  1.57292012 -0.77050918  1.35199818 -2.12132913 -3.11554956 -0.84609606 -2.61517144 -1.32195271 -0.16804088 -2.26333113 -0.19873849 -1.24370201 -0.44511226  0.11875908],4534,0.9438717581407846,[-0.0412949  -1.22961091  1.57292012 -0.77050918  1.35199818 -2.12132913 -3.11554956 -0.84609606 -2.61517144 -1.32195271 -0.16804088 -2.26333113 -0.19873849 -1.24370201 -0.44511226  0.11875908],2108,0.9438717581407846,[-0.0412949  -1.22961091  1.57292012 -0.77050918  1.35199818 -2.12132913 -3.11554956 -0.84609606 -2.61517144 -1.32195271 -0.16804088 -2.26333113 -0.19873849 -1.24370201 -0.44511226  0.11875908],1564,0.9688515583711398,[-0.16679052 -1.46187314  0.33322931 -0.3410364   0.25704191 -1.87262017 -2.18252238  0.0114454   2.48423636 -0.23867491  0.33774597 -0.20793105 -2.33670474 -1.62331022  2.71317092  1.42687026],2465,0.9688515583711398,[-0.16679052 -1.46187314  0.33322931 -0.3410364   0.25704191 -1.87262017 -2.18252238  0.0114454   2.48423636 -0.23867491  0.33774597 -0.20793105 -2.33670474 -1.62331022  2.71317092  1.42687026],2737
graphs/new/nodes_10/depth_3//2.gml,0.7746123029307416,[-1.90426239 -0.98537016  0.11703731 -0.82226392 -1.65656934 -1.0785655  -2.04517217 -2.48802692 -2.82148554 -1.51087768 -0.99628402  0.90236146 -0.24998659  1.16693519 -0.94247384  1.86608903],0.7809768773933725,[-0.89104768 -1.6776186  -1.79283102 -1.61398103 -0.43720329  1.03992824 -0.10369734  0.41861741  0.80964677  1.38551095 -0.98806656  2.33359893  2.47844354  1.72730806  1.08798933  2.49143472],884,0.7809768773933725,[-0.89104768 -1.6776186  -1.79283102 -1.61398103 -0.43720329  1.03992824 -0.10369734  0.41861741  0.80964677  1.38551095 -0.98806656  2.33359893  2.47844354  1.72730806  1.08798933  2.49143472],1513,0.9450213981721052,[-0.12230102 -1.18586288  1.86751155  1.53937662 -2.22775506  2.95526487  0.1703231  -2.46749827  3.29780207 -0.28720573 -2.72228875 -1.64875012  1.69875953 -3.095072    0.48517468  3.22425528],1632,0.9450213981721052,[-0.12230102 -1.18586288  1.86751155  1.53937662 -2.22775506  2.95526487  0.1703231  -2.46749827  3.29780207 -0.28720573 -2.72228875 -1.64875012  1.69875953 -3.095072    0.48517468  3.22425528],2771,0.9450213981721052,[-0.12230102 -1.18586288  1.86751155  1.53937662 -2.22775506  2.95526487  0.1703231  -2.46749827  3.29780207 -0.28720573 -2.72228875 -1.64875012  1.69875953 -3.095072    0.48517468  3.22425528],2499
graphs/new/nodes_10/depth_3//3.gml,0.8790970456534406,[-1.48754662 -0.29853686 -1.37395604  2.15181963 -1.8769831  -0.01364178  0.24137458 -1.83264596  0.03311781 -0.5260304   0.67615242  3.06694149  2.58891973  2.43844961 -1.59661746  0.62720844],0.8956322172396634,[-1.64794699  3.70209802 -0.14418309 -0.81129433  3.43267927  0.0069544  -0.23028975 -0.68434312  1.88924764 -1.98867013  1.42267029  1.34349855  0.0555051   1.89320732 -1.1399638  -0.25324985],3536,0.9168508025722109,[-2.55414209 -1.9736949  -0.00775916 -1.14197694  2.40173999 -1.40480018  0.49182277  1.82672004 -2.26369319  1.57747638  2.09125974  2.42541602 -0.19475334 -2.88243675  1.12505418  0.02973568],2516,0.9580614405008688,[-0.16826776 -3.04500546 -2.82048521 -0.37042168  1.54535549 -0.03309818 -1.31030067  2.78841553 -2.84899451  1.29957155  0.41805923  0.51948956 -1.78903359  1.53245352 -1.39563741  0.86188769],3417,0.9580614405008688,[-0.16826776 -3.04500546 -2.82048521 -0.37042168  1.54535549 -0.03309818 -1.31030067  2.78841553 -2.84899451  1.29957155  0.41805923  0.51948956 -1.78903359  1.53245352 -1.39563741  0.86188769],2465,0.9580614405008688,[-0.16826776 -3.04500546 -2.82048521 -0.37042168  1.54535549 -0.03309818 -1.31030067  2.78841553 -2.84899451  1.29957155  0.41805923  0.51948956 -1.78903359  1.53245352 -1.39563741  0.86188769],1411
graphs/new/nodes_10/depth_3//4.gml,0.9476072901941232,[ 1.35260527 -1.45519577 -1.18565082  0.41371748  3.05513761  0.75474904 -1.62746903 -3.02936279  1.33456666  0.31002941 -2.02594314 -1.85422108 -1.45962787  3.38090365  1.46215112 -1.29496549],0.976033538852696,[ 0.21548466 -2.79188766 -0.0728636  -0.94225631  0.31617935 -0.37040404  1.99659149  0.03054997 -1.63428609  0.53962745 -0.05031075  0.68504793  1.67039175 -0.02177665  1.91680055 -3.29604941],2040,0.976033538852696,[ 0.21548466 -2.79188766 -0.0728636  -0.94225631  0.31617935 -0.37040404  1.99659149  0.03054997 -1.63428609  0.53962745 -0.05031075  0.68504793  1.67039175 -0.02177665  1.91680055 -3.29604941],1309,0.976033538852696,[ 0.21548466 -2.79188766 -0.0728636  -0.94225631  0.31617935 -0.37040404  1.99659149  0.03054997 -1.63428609  0.53962745 -0.05031075  0.68504793  1.67039175 -0.02177665  1.91680055 -3.29604941],3111,0.976033538852696,[ 0.21548466 -2.79188766 -0.0728636  -0.94225631  0.31617935 -0.37040404  1.99659149  0.03054997 -1.63428609  0.53962745 -0.05031075  0.68504793  1.67039175 -0.02177665  1.91680055 -3.29604941],3774,0.976033538852696,[ 0.21548466 -2.79188766 -0.0728636  -0.94225631  0.31617935 -0.37040404  1.99659149  0.03054997 -1.63428609  0.53962745 -0.05031075  0.68504793  1.67039175 -0.02177665  1.91680055 -3.29604941],1734
graphs/new/nodes_10/depth_3//5.gml,0.7946907224763,[ 3.3230623  -2.45434567  0.90872545  2.82466411 -0.32877401 -0.74596225 -2.49788624  3.32273554 -1.59368718 -2.57422278 -1.42923694  2.52452087 -2.51174036 -0.45836413  2.69695973 -0.96759941],0.9702588385095702,[-3.27873613  1.70204725 -1.29997746  0.17931407  1.76424198 -2.82509925 -0.06214567  2.43738789 -1.75527582 -1.65958339 -1.05108228  2.94870764 -2.77914765  1.42214231 -1.16397711  3.20594193],2261,0.9702588385095702,[-3.27873613  1.70204725 -1.29997746  0.17931407  1.76424198 -2.82509925 -0.06214567  2.43738789 -1.75527582 -1.65958339 -1.05108228  2.94870764 -2.77914765  1.42214231 -1.16397711  3.20594193],2686,0.9702588385095702,[-3.27873613  1.70204725 -1.29997746  0.17931407  1.76424198 -2.82509925 -0.06214567  2.43738789 -1.75527582 -1.65958339 -1.05108228  2.94870764 -2.77914765  1.42214231 -1.16397711  3.20594193],1139,0.9702588385095702,[-3.27873613  1.70204725 -1.29997746  0.17931407  1.76424198 -2.82509925 -0.06214567  2.43738789 -1.75527582 -1.65958339 -1.05108228  2.94870764 -2.77914765  1.42214231 -1.16397711  3.20594193],1377,0.9702588385095702,[-3.27873613  1.70204725 -1.29997746  0.17931407  1.76424198 -2.82509925 -0.06214567  2.43738789 -1.75527582 -1.65958339 -1.05108228  2.94870764 -2.77914765  1.42214231 -1.16397711  3.20594193],1564
graphs/new/nodes_10/depth_3//6.gml,0.5946113678352013,[ 2.41074051 -0.78686545 -2.2445896   2.06690184  0.61197657  0.1414841  -0.90982998 -0.30970269  3.53588774  1.98244388  0.74852009 -0.48860432 -1.62080858 -2.11960991 -0.18192952  3.27277797],0.9517614672555796,[ 2.0127975  -1.58301908  0.86317234  2.75024291 -1.09095238 -1.56782758  1.21294607 -2.0506988   2.15204251  0.01791154  0.62929797  0.54264653  2.78493417  0.21200881  0.47275125 -0.13543757],3191,0.9517614672555796,[ 2.0127975  -1.58301908  0.86317234  2.75024291 -1.09095238 -1.56782758  1.21294607 -2.0506988   2.15204251  0.01791154  0.62929797  0.54264653  2.78493417  0.21200881  0.47275125 -0.13543757],3859,0.9877187002508476,[-3.34724578  2.77737337  3.24049552  2.66171336 -1.94698543  1.56712326  1.63100251  3.65333973  2.88353516 -2.69763735 -0.28264941 -1.22676355 -1.13804053  1.55425753  0.81576671 -1.40740256],2329,0.9877187002508476,[-3.34724578  2.77737337  3.24049552  2.66171336 -1.94698543  1.56712326  1.63100251  3.65333973  2.88353516 -2.69763735 -0.28264941 -1.22676355 -1.13804053  1.55425753  0.81576671 -1.40740256],1530,0.9877187002508476,[-3.34724578  2.77737337  3.24049552  2.66171336 -1.94698543  1.56712326  1.63100251  3.65333973  2.88353516 -2.69763735 -0.28264941 -1.22676355 -1.13804053  1.55425753  0.81576671 -1.40740256],1972
graphs/new/nodes_10/depth_3//7.gml,0.9681533521265976,[-1.79205708  1.59301184 -1.4590668  -1.12597111 -3.44272335  2.54135708 -1.7969449  -1.58794655 -1.2967425  -2.15746925  2.73716794  0.20598904  1.35425822 -1.60502222  1.39588467  0.13152008],0.9681533521265976,[-1.79205708  1.59301184 -1.4590668  -1.12597111 -3.44272335  2.54135708 -1.7969449  -1.58794655 -1.2967425  -2.15746925  2.73716794  0.20598904  1.35425822 -1.60502222  1.39588467  0.13152008],1802,0.9681533521265976,[-1.79205708  1.59301184 -1.4590668  -1.12597111 -3.44272335  2.54135708 -1.7969449  -1.58794655 -1.2967425  -2.15746925  2.73716794  0.20598904  1.35425822 -1.60502222  1.39588467  0.13152008],1394,0.9681533521265976,[-1.79205708  1.59301184 -1.4590668  -1.12597111 -3.44272335  2.54135708 -1.7969449  -1.58794655 -1.2967425  -2.15746925  2.73716794  0.20598904  1.35425822 -1.60502222  1.39588467  0.13152008],731,0.9681533521265976,[-1.79205708  1.59301184 -1.4590668  -1.12597111 -3.44272335  2.54135708 -1.7969449  -1.58794655 -1.2967425  -2.15746925  2.73716794  0.20598904  1.35425822 -1.60502222  1.39588467  0.13152008],3181,0.9796717212214424,[ 2.97886989 -3.04179893 -2.8282099   1.21440312 -2.91068473  1.25551295  3.42676053  1.3147474   0.32796749  2.9495184   2.65226655  0.02878969 -1.84465128 -3.18930221 -0.432751   -0.12869549],3417
graphs/new/nodes_10/depth_3//8.gml,0.95579776274503,[ 1.56382129 -1.04117155  1.4583304  -2.61113105 -0.23223823  0.4534858   2.88789199 -4.35026556  2.7937593   4.15598738  3.19307192 -2.24410881 -0.8666291   0.04827457 -2.6961331  -1.40538171],0.95579776274503,[ 1.56382129 -1.04117155  1.4583304  -2.61113105 -0.23223823  0.4534858   2.88789199 -4.35026556  2.7937593   4.15598738  3.19307192 -2.24410881 -0.8666291   0.04827457 -2.6961331  -1.40538171],1292,0.95579776274503,[ 1.56382129 -1.04117155  1.4583304  -2.61113105 -0.23223823  0.4534858   2.88789199 -4.35026556  2.7937593   4.15598738  3.19307192 -2.24410881 -0.8666291   0.04827457 -2.6961331  -1.40538171],2788,0.95579776274503,[ 1.56382129 -1.04117155  1.4583304  -2.61113105 -0.23223823  0.4534858   2.88789199 -4.35026556  2.7937593   4.15598738  3.19307192 -2.24410881 -0.8666291   0.04827457 -2.6961331  -1.40538171],4913,0.95579776274503,[ 1.56382129 -1.04117155  1.4583304  -2.61113105 -0.23223823  0.4534858   2.88789199 -4.35026556  2.7937593   4.15598738  3.19307192 -2.24410881 -0.8666291   0.04827457 -2.6961331  -1.40538171],3383,0.95579776274503,[ 1.56382129 -1.04117155  1.4583304  -2.61113105 -0.23223823  0.4534858   2.88789199 -4.35026556  2.7937593   4.15598738  3.19307192 -2.24410881 -0.8666291   0.04827457 -2.6961331  -1.40538171],2635
graphs/new/nodes_10/depth_3//9.gml,0.9329720599715244,[-3.34091217 -0.45435337 -3.08493936  0.99177921 -0.45021499  2.59546437 -1.16717424  0.00793075  1.40349151 -3.08435116  1.89251095 -3.14596037  1.06274437  0.73685493  0.61920907 -0.10971927],0.941528792531051,[ 0.18249176  3.02288278 -0.45316409 -2.11781123  1.87523237  0.01543033 -0.2549847   3.83901133  1.51023611  0.9401607  -1.58686784  2.46645322 -1.98830985 -2.93538653 -0.43036607 -2.99886627],3259,0.941528792531051,[ 0.18249176  3.02288278 -0.45316409 -2.11781123  1.87523237  0.01543033 -0.2549847   3.83901133  1.51023611  0.9401607  -1.58686784  2.46645322 -1.98830985 -2.93538653 -0.43036607 -2.99886627],2193,0.941528792531051,[ 0.18249176  3.02288278 -0.45316409 -2.11781123  1.87523237  0.01543033 -0.2549847   3.83901133  1.51023611  0.9401607  -1.58686784  2.46645322 -1.98830985 -2.93538653 -0.43036607 -2.99886627],1105,0.9469922819796616,[-3.02264652  1.09208372 -2.89622947  1.25666196  0.37309309 -4.23188557 -0.47981393 -3.12858093  0.21921111 -0.04247689  3.36021827 -3.87499012  0.5271073   2.22024006 -0.03129202 -0.7962152 ],3638,0.9469922819796616,[-3.02264652  1.09208372 -2.89622947  1.25666196  0.37309309 -4.23188557 -0.47981393 -3.12858093  0.21921111 -0.04247689  3.36021827 -3.87499012  0.5271073   2.22024006 -0.03129202 -0.7962152 ],3893
graphs/new/nodes_10/depth_3//10.gml,0.9007667522791458,[ 1.39407141  0.12805117 -2.89324843  0.7562847   0.0609198  -2.2063366   1.34888921 -2.86991272 -2.70446263  0.15255126  2.84832742 -1.82491647 -2.81913859  3.40226876  3.02286868  2.51005875],0.9338471118405682,[-2.93217193  0.17062507  1.30046522  0.36237619 -3.03271391  1.11180424 -1.41053983 -2.23775402  0.29833491 -1.10908503 -1.70674596 -1.62563369  1.65101212 -2.46512312 -2.7673722  -0.25338508],1785,0.9338471118405682,[-2.93217193  0.17062507  1.30046522  0.36237619 -3.03271391  1.11180424 -1.41053983 -2.23775402  0.29833491 -1.10908503 -1.70674596 -1.62563369  1.65101212 -2.46512312 -2.7673722  -0.25338508],4252,0.9338471118405682,[-2.93217193  0.17062507  1.30046522  0.36237619 -3.03271391  1.11180424 -1.41053983 -2.23775402  0.29833491 -1.10908503 -1.70674596 -1.62563369  1.65101212 -2.46512312 -2.7673722  -0.25338508],2176,0.9338471118405682,[-2.93217193  0.17062507  1.30046522  0.36237619 -3.03271391  1.11180424 -1.41053983 -2.23775402  0.29833491 -1.10908503 -1.70674596 -1.62563369  1.65101212 -2.46512312 -2.7673722  -0.25338508],3054,0.9338471118405682,[-2.93217193  0.17062507  1.30046522  0.36237619 -3.03271391  1.11180424 -1.41053983 -2.23775402  0.29833491 -1.10908503 -1.70674596 -1.62563369  1.65101212 -2.46512312 -2.7673722  -0.25338508],1207
graphs/new/nodes_10/depth_3//11.gml,0.70066991188513,[-2.07949753  2.38995678  1.01581423  2.4245138   0.49795077 -2.59646346  2.67316189 -1.75479247 -2.04917262  1.83598349  2.13643421 -0.71070089  2.68432399  0.79978853 -1.45666238 -2.65352922],0.8764905800126302,[ 1.32034846 -0.31737826 -0.40684592  3.17177639  0.38913061 -1.30213361  0.38876824 -2.54172338 -1.37232314 -0.47230022 -2.83791301 -0.29067235 -1.55867291 -0.74260008  3.08012659 -0.75681227],1955,0.8764905800126302,[ 1.32034846 -0.31737826 -0.40684592  3.17177639  0.38913061 -1.30213361  0.38876824 -2.54172338 -1.37232314 -0.47230022 -2.83791301 -0.29067235 -1.55867291 -0.74260008  3.08012659 -0.75681227],680,0.8764905800126302,[ 1.32034846 -0.31737826 -0.40684592  3.17177639  0.38913061 -1.30213361  0.38876824 -2.54172338 -1.37232314 -0.47230022 -2.83791301 -0.29067235 -1.55867291 -0.74260008  3.08012659 -0.75681227],1258,0.8764905800126302,[ 1.32034846 -0.31737826 -0.40684592  3.17177639  0.38913061 -1.30213361  0.38876824 -2.54172338 -1.37232314 -0.47230022 -2.83791301 -0.29067235 -1.55867291 -0.74260008  3.08012659 -0.75681227],697,0.8764905800126302,[ 1.32034846 -0.31737826 -0.40684592  3.17177639  0.38913061 -1.30213361  0.38876824 -2.54172338 -1.37232314 -0.47230022 -2.83791301 -0.29067235 -1.55867291 -0.74260008  3.08012659 -0.75681227],1037
graphs/new/nodes_10/depth_3//12.gml,0.882732176879378,[ 3.37671196e+00  1.63367804e+00 -3.49434857e-01  2.07671603e+00  8.01593616e-02  2.45562318e+00  3.00044120e-01  1.10396677e+00 -3.00531018e+00  1.64423060e+00  1.34889864e+00  2.35823711e+00 -8.00943100e-01 -2.27786215e+00 -8.04282007e-04 -2.46474209e+00],0.8844894438243767,[ 0.1276239   2.26564671 -2.91800067  2.88657633 -1.61002092  2.10911088  3.02843683  2.31973611  1.40185924 -1.48450526  1.80469882 -0.10580232 -0.13894715 -0.41981596 -1.23969822 -0.13095509],2329,0.8844894438243767,[ 0.1276239   2.26564671 -2.91800067  2.88657633 -1.61002092  2.10911088  3.02843683  2.31973611  1.40185924 -1.48450526  1.80469882 -0.10580232 -0.13894715 -0.41981596 -1.23969822 -0.13095509],901,0.885260172117901,[ 3.01318607  1.97206656 -0.36616807  1.06450334  1.62392129 -2.37181178 -2.16826085 -0.59407807  0.15948534 -0.04291042  2.99793409  3.76313873 -3.27841366 -0.76276296  1.56854039 -0.81510032],3145,0.8883499423100947,[-0.1262147   0.77648218 -0.26971825 -0.16446695  0.27756831  2.13274954  1.97789335  3.10833074 -3.33868592  0.80180538 -1.56187907  2.72815921  2.33149789 -3.08760016  0.38622204 -3.05854407],3128,0.8883499423100947,[-0.1262147   0.77648218 -0.26971825 -0.16446695  0.27756831  2.13274954  1.97789335  3.10833074 -3.33868592  0.80180538 -1.56187907  2.72815921  2.33149789 -3.08760016  0.38622204 -3.05854407],2380
graphs/new/nodes_10/depth_3//13.gml,0.7473828904064151,[ 2.55520324  2.66093327  2.2288287   2.94870751 -2.09230846  1.17416585  2.1730709   1.99186226  2.56015817  0.51040151 -1.43402881  0.1685551  -1.00130198  0.44524972  1.77109161  3.30063314],0.756884474309305,[-0.21130284 -1.83550953 -0.67960324 -2.35056834 -2.2613965   0.26666046  0.57145916 -2.45352409 -0.26699489  0.03031135  3.46440744  2.44862246  1.08657822  1.10751134  2.9192492   1.73366876],1904,0.925422704464449,[-1.76178955 -0.74624872 -3.09924334  2.50801971 -1.18619581 -0.35881174  1.89871103  2.29780995 -1.60107526  2.15584761  2.3648725   0.83260816 -1.53642491  0.30799573 -3.17766415 -1.18703229],1972,0.925422704464449,[-1.76178955 -0.74624872 -3.09924334  2.50801971 -1.18619581 -0.35881174  1.89871103  2.29780995 -1.60107526  2.15584761  2.3648725   0.83260816 -1.53642491  0.30799573 -3.17766415 -1.18703229],1224,0.925422704464449,[-1.76178955 -0.74624872 -3.09924334  2.50801971 -1.18619581 -0.35881174  1.89871103  2.29780995 -1.60107526  2.15584761  2.3648725   0.83260816 -1.53642491  0.30799573 -3.17766415 -1.18703229],3026,0.925422704464449,[-1.76178955 -0.74624872 -3.09924334  2.50801971 -1.18619581 -0.35881174  1.89871103  2.29780995 -1.60107526  2.15584761  2.3648725   0.83260816 -1.53642491  0.30799573 -3.17766415 -1.18703229],1411
graphs/new/nodes_10/depth_3//14.gml,0.938581475037806,[-0.14444001  0.13328083 -1.37127299  0.11035255 -1.44076282 -0.31004645 -2.22216834 -3.14003538 -0.68620973 -1.88085795 -2.31521812  3.16067881 -0.53933153  1.35262426 -2.77524075 -1.71849412],0.938581475037806,[-0.14444001  0.13328083 -1.37127299  0.11035255 -1.44076282 -0.31004645 -2.22216834 -3.14003538 -0.68620973 -1.88085795 -2.31521812  3.16067881 -0.53933153  1.35262426 -2.77524075 -1.71849412],2533,0.938581475037806,[-0.14444001  0.13328083 -1.37127299  0.11035255 -1.44076282 -0.31004645 -2.22216834 -3.14003538 -0.68620973 -1.88085795 -2.31521812  3.16067881 -0.53933153  1.35262426 -2.77524075 -1.71849412],1938,0.938581475037806,[-0.14444001  0.13328083 -1.37127299  0.11035255 -1.44076282 -0.31004645 -2.22216834 -3.14003538 -0.68620973 -1.88085795 -2.31521812  3.16067881 -0.53933153  1.35262426 -2.77524075 -1.71849412],1683,0.938581475037806,[-0.14444001  0.13328083 -1.37127299  0.11035255 -1.44076282 -0.31004645 -2.22216834 -3.14003538 -0.68620973 -1.88085795 -2.31521812  3.16067881 -0.53933153  1.35262426 -2.77524075 -1.71849412],1309,0.938581475037806,[-0.14444001  0.13328083 -1.37127299  0.11035255 -1.44076282 -0.31004645 -2.22216834 -3.14003538 -0.68620973 -1.88085795 -2.31521812  3.16067881 -0.53933153  1.35262426 -2.77524075 -1.71849412],969
graphs/new/nodes_10/depth_3//15.gml,0.9241204709134312,[ 2.90947387  2.75818198  0.08677666 -2.15263246  1.11464858  1.24027716 -1.54739467 -3.65859606 -1.58395799 -2.77064184 -1.50350001 -3.93737618 -1.46745375 -0.03888543  2.00231619  1.44496871],0.9351867920292878,[-2.18144059 -4.70691332  1.98320515  1.16865966  0.03872304  0.61932504  0.40178253  0.58749224  3.08141251  2.1304284  -0.95001339  1.56660044 -1.82920427  2.88544674 -2.79725621  1.43353428],3876,0.9502753663824468,[ 3.25316441  2.59373351 -2.93188467  2.7243644  -2.84432736  2.16391074  3.08954369 -4.15107787  0.34337424 -3.40729305  3.50696193 -1.68705016 -0.89009819  0.05093982 -2.78057395 -1.47631043],4964,0.9502753663824468,[ 3.25316441  2.59373351 -2.93188467  2.7243644  -2.84432736  2.16391074  3.08954369 -4.15107787  0.34337424 -3.40729305  3.50696193 -1.68705016 -0.89009819  0.05093982 -2.78057395 -1.47631043],2516,0.9502753663824468,[ 3.25316441  2.59373351 -2.93188467  2.7243644  -2.84432736  2.16391074  3.08954369 -4.15107787  0.34337424 -3.40729305  3.50696193 -1.68705016 -0.89009819  0.05093982 -2.78057395 -1.47631043],850,0.9502753663824468,[ 3.25316441  2.59373351 -2.93188467  2.7243644  -2.84432736  2.16391074  3.08954369 -4.15107787  0.34337424 -3.40729305  3.50696193 -1.68705016 -0.89009819  0.05093982 -2.78057395 -1.47631043],1564
graphs/new/nodes_10/depth_3//16.gml,0.9347848802321244,[ 1.31007013 -1.60301027 -1.43893458 -2.64440198 -0.29466404  0.89436335  1.59076952 -0.05093372  1.58974045  2.46554477 -2.69773797 -0.20168651 -1.70526516  1.58415673 -1.0106375   3.01704183],0.9347848802321244,[ 1.31007013 -1.60301027 -1.43893458 -2.64440198 -0.29466404  0.89436335  1.59076952 -0.05093372  1.58974045  2.46554477 -2.69773797 -0.20168651 -1.70526516  1.58415673 -1.0106375   3.01704183],2686,0.9347848802321244,[ 1.31007013 -1.60301027 -1.43893458 -2.64440198 -0.29466404  0.89436335  1.59076952 -0.05093372  1.58974045  2.46554477 -2.69773797 -0.20168651 -1.70526516  1.58415673 -1.0106375   3.01704183],2142,0.9347848802321244,[ 1.31007013 -1.60301027 -1.43893458 -2.64440198 -0.29466404  0.89436335  1.59076952 -0.05093372  1.58974045  2.46554477 -2.69773797 -0.20168651 -1.70526516  1.58415673 -1.0106375   3.01704183],3173,0.9483679422399124,[ 2.95062677  1.15945979 -1.52695094  1.60380679 -1.54855166 -0.58920917  2.05461367  1.56699988 -2.459567   -0.48963733  0.05447724 -2.26982608  2.66919115 -2.15122931  0.04298138  2.33593871],4041,0.9483679422399124,[ 2.95062677  1.15945979 -1.52695094  1.60380679 -1.54855166 -0.58920917  2.05461367  1.56699988 -2.459567   -0.48963733  0.05447724 -2.26982608  2.66919115 -2.15122931  0.04298138  2.33593871],3791
graphs/new/nodes_10/depth_3//17.gml,0.9125141965016204,[ 3.00652446 -2.76428055  2.74764285 -0.2315694   0.19266677  2.27918216 -1.38372965  0.78120497  1.56101307  2.05130593  0.80406941 -2.88619799  0.00650872 -1.04072476  1.5809933   0.79753993],0.9591321133239364,[ 0.1975588  -2.68853033  3.07474895 -0.94490238 -2.72658772  0.16556557  2.96978185 -0.66030568 -0.17881515 -4.5080885   0.44636194 -1.84280596  3.54139426 -0.99623052 -3.18977745  0.77833217],5729,0.9591321133239364,[ 0.1975588  -2.68853033  3.07474895 -0.94490238 -2.72658772  0.16556557  2.96978185 -0.66030568 -0.17881515 -4.5080885   0.44636194 -1.84280596  3.54139426 -0.99623052 -3.18977745  0.77833217],1632,0.9591321133239364,[ 0.1975588  -2.68853033  3.07474895 -0.94490238 -2.72658772  0.16556557  2.96978185 -0.66030568 -0.17881515 -4.5080885   0.44636194 -1.84280596  3.54139426 -0.99623052 -3.18977745  0.77833217],2414,0.9591321133239364,[ 0.1975588  -2.68853033  3.07474895 -0.94490238 -2.72658772  0.16556557  2.96978185 -0.66030568 -0.17881515 -4.5080885   0.44636194 -1.84280596  3.54139426 -0.99623052 -3.18977745  0.77833217],2346,0.9591321133239364,[ 0.1975588  -2.68853033  3.07474895 -0.94490238 -2.72658772  0.16556557  2.96978185 -0.66030568 -0.17881515 -4.5080885   0.44636194 -1.84280596  3.54139426 -0.99623052 -3.18977745  0.77833217],2890
graphs/new/nodes_10/depth_3//18.gml,0.7190705140803098,[-0.8994275   2.56315429 -2.7564551  -1.48169049  1.69049379  0.24341205 -0.13345993  2.13040668  2.64520083  2.95254622  2.79690513  0.69319273 -0.62215414 -2.19861249  0.7817066   2.94514622],0.919337626006878,[-1.94747269 -1.85895588 -1.90934954  0.03360215  3.09036572  1.5424866   1.94176053 -2.85985197 -0.99739386 -0.11460358 -0.37917581  0.38068085 -3.42032985  3.46899503 -3.51468221 -1.38646504],1649,0.919337626006878,[-1.94747269 -1.85895588 -1.90934954  0.03360215  3.09036572  1.5424866   1.94176053 -2.85985197 -0.99739386 -0.11460358 -0.37917581  0.38068085 -3.42032985  3.46899503 -3.51468221 -1.38646504],3230,0.919337626006878,[-1.94747269 -1.85895588 -1.90934954  0.03360215  3.09036572  1.5424866   1.94176053 -2.85985197 -0.99739386 -0.11460358 -0.37917581  0.38068085 -3.42032985  3.46899503 -3.51468221 -1.38646504],3718,0.919337626006878,[-1.94747269 -1.85895588 -1.90934954  0.03360215  3.09036572  1.5424866   1.94176053 -2.85985197 -0.99739386 -0.11460358 -0.37917581  0.38068085 -3.42032985  3.46899503 -3.51468221 -1.38646504],2040,0.919337626006878,[-1.94747269 -1.85895588 -1.90934954  0.03360215  3.09036572  1.5424866   1.94176053 -2.85985197 -0.99739386 -0.11460358 -0.37917581  0.38068085 -3.42032985  3.46899503 -3.51468221 -1.38646504],1003
