path,p_1,p_1_angles,p_1_nfev,p_2,p_2_angles,p_2_nfev,p_3,p_3_angles,p_3_nfev,p_4,p_4_angles,p_4_nfev,p_5,p_5_angles,p_5_nfev,p_6,p_6_angles,p_6_nfev,p_7,p_7_angles,p_7_nfev,p_8,p_8_angles,p_8_nfev,p_9,p_9_angles,p_9_nfev,p_10,p_10_angles,p_10_nfev
graphs/new/nodes_9/depth_3//0.gml,0.7477384041972763,[1.33029513 0.49422639],65,0.7477384041972763,[1.33029513 0.49422639 0.         0.        ],164,0.832933984056738,[-0.58360946 -1.59048361 -1.41609447 -1.56072806 -0.96007136 -0.2698472 ],412,0.832933984056738,[-0.58360946 -1.59048361 -1.41609447 -1.56072806 -0.96007136 -0.2698472   0.          0.        ],696,0.832933984056738,[-0.58360946 -1.59048361 -1.41609447 -1.56072806 -0.96007136 -0.2698472   0.          0.          0.          0.        ],902,0.832933984056738,[-0.58360946 -1.59048361 -1.41609447 -1.56072806 -0.96007136 -0.2698472   0.          0.          0.          0.          0.          0.        ],915,0.832933984056738,[-0.58360946 -1.59048361 -1.41609447 -1.56072806 -0.96007136 -0.2698472   0.          0.          0.          0.          0.          0.          0.          0.        ],1859,0.832933984056738,[-0.58360946 -1.59048361 -1.41609447 -1.56072806 -0.96007136 -0.2698472   0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],1106,0.832933984056738,[-0.58360946 -1.59048361 -1.41609447 -1.56072806 -0.96007136 -0.2698472   0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],1950,0.832933984056738,[-0.58360946 -1.59048361 -1.41609447 -1.56072806 -0.96007136 -0.2698472   0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],2458
graphs/new/nodes_9/depth_3//1.gml,0.8346400063575181,[1.32490601 0.38529797],46,0.8346400063575181,[1.32490601 0.38529797 0.         0.        ],84,0.8862252886229757,[0.14883612 2.85979422 1.88840779 1.45241146 2.37262409 0.1162725 ],503,0.8862252886229757,[0.14883612 2.85979422 1.88840779 1.45241146 2.37262409 0.1162725  0.         0.        ],333,0.8862252886229757,[0.14883612 2.85979422 1.88840779 1.45241146 2.37262409 0.1162725  0.         0.         0.         0.        ],25,0.9388415749527836,[-0.12242649 -1.13749406 -0.25892933 -1.29741204 -0.40509727 -2.20132151 -1.21773043  0.02392827 -0.64050599  0.02461706 -1.2398718   0.81906423],1471,0.9388415749527836,[-0.12242649 -1.13749406 -0.25892933 -1.29741204 -0.40509727 -2.20132151 -1.21773043  0.02392827 -0.64050599  0.02461706 -1.2398718   0.81906423  0.          0.        ],188,0.943358653729515,[ 0.18130606 -1.68631339 -0.36006004 -1.2331358  -1.45960039 -1.61038842 -0.38843477 -1.3529304  -1.65061753 -1.10961634 -1.53743916 -1.79779515 -1.94644826  0.09864156 -2.67470948 -0.2017466 ],2650,0.943358653729515,[ 0.18130606 -1.68631339 -0.36006004 -1.2331358  -1.45960039 -1.61038842 -0.38843477 -1.3529304  -1.65061753 -1.10961634 -1.53743916 -1.79779515 -1.94644826  0.09864156 -2.67470948 -0.2017466   0.          0.        ],2680,0.943358653729515,[ 0.18130606 -1.68631339 -0.36006004 -1.2331358  -1.45960039 -1.61038842 -0.38843477 -1.3529304  -1.65061753 -1.10961634 -1.53743916 -1.79779515 -1.94644826  0.09864156 -2.67470948 -0.2017466   0.          0.          0.          0.        ],2515
graphs/new/nodes_9/depth_3//2.gml,0.6785714285713403,[0.78539737 0.78539737],21,0.6785714285714121,[1.90875339e-08 5.72626018e-08 5.72626018e-08 1.90875339e-08],21,0.8868709598922508,[-0.20020213 -1.35261946 -1.27682322 -0.14126871 -1.28720247 -0.21723509],259,0.8994508215866059,[-0.33842798 -1.91045628 -2.04540416  0.03965832 -0.98484852 -0.88479772 -1.05491602 -0.08147557],483,0.8994508215866059,[-0.33842798 -1.91045628 -2.04540416  0.03965832 -0.98484852 -0.88479772 -1.05491602 -0.08147557  0.          0.        ],27,0.8994508215866059,[-0.33842798 -1.91045628 -2.04540416  0.03965832 -0.98484852 -0.88479772 -1.05491602 -0.08147557  0.          0.          0.          0.        ],677,0.9383199649966788,[ 0.21430715  3.00158043  1.16687975  1.94204534  1.47664572  1.90803831  1.73526036  1.36767973  1.04800807  1.77153851  2.14970035  1.52498127  2.85580626 -0.06023574],1415,0.9383199649966788,[ 0.21430715  3.00158043  1.16687975  1.94204534  1.47664572  1.90803831  1.73526036  1.36767973  1.04800807  1.77153851  2.14970035  1.52498127  2.85580626 -0.06023574  0.          0.        ],33,0.949889206301,[-0.13545944 -1.05821068 -1.17715375 -1.00771433  0.11569056 -1.6541677  -0.14472837 -2.11828039 -0.60178419 -0.02841446 -1.68938587  0.83218409 -1.88710172  0.05278663 -1.18355171 -0.46218072 -0.53534198  0.16384944],2986,0.9779546725017296,[0.10118378 2.57297776 0.22266679 2.64700728 0.26971474 2.683647   0.33482357 0.63859808 2.9077929  1.51709579 0.20064462 2.42342944 2.71193588 0.32080916 2.75263969 0.26254004 2.71845696 0.18255456 2.68459627 0.09979729],4863
graphs/new/nodes_9/depth_3//3.gml,0.6666666666666655,[1.86200043e-08 1.86200043e-08],19,0.666666666666675,[-5.44066177e-08  3.74047762e-08  3.05163769e-08 -3.97687692e-08],29,0.8291726117641258,[-0.18442803 -1.39780066 -1.28349745 -1.60421891 -1.36565222 -0.24741727],503,0.8291726117641258,[-0.18442803 -1.39780066 -1.28349745 -1.60421891 -1.36565222 -0.24741727  0.          0.        ],43,0.9233640249250584,[-0.14846884 -1.06025485 -0.26629721 -1.08155776 -0.33299033  0.18728272 -2.18621901 -0.05840717 -0.46612661 -0.14515305],621,0.9233640249250584,[-0.14846884 -1.06025485 -0.26629721 -1.08155776 -0.33299033  0.18728272 -2.18621901 -0.05840717 -0.46612661 -0.14515305  0.          0.        ],1550,0.9233640249250584,[-0.14846884 -1.06025485 -0.26629721 -1.08155776 -0.33299033  0.18728272 -2.18621901 -0.05840717 -0.46612661 -0.14515305  0.          0.          0.          0.        ],1801,0.9233640249250584,[-0.14846884 -1.06025485 -0.26629721 -1.08155776 -0.33299033  0.18728272 -2.18621901 -0.05840717 -0.46612661 -0.14515305  0.          0.          0.          0.          0.          0.        ],1446,0.9233640249250584,[-0.14846884 -1.06025485 -0.26629721 -1.08155776 -0.33299033  0.18728272 -2.18621901 -0.05840717 -0.46612661 -0.14515305  0.          0.          0.          0.          0.          0.          0.          0.        ],2148,0.9233640249250584,[-0.14846884 -1.06025485 -0.26629721 -1.08155776 -0.33299033  0.18728272 -2.18621901 -0.05840717 -0.46612661 -0.14515305  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],1616
graphs/new/nodes_9/depth_3//4.gml,0.6666666666666438,[-6.67995534e-08 -6.67995534e-08],13,0.8143018052057026,[-1.20704301 -1.72124159 -1.69399162 -0.42994831],131,0.9021499668819,[-0.16198054 -1.16940846 -0.36856712 -1.3077417  -0.43545132  0.17914124],424,0.9021499668819,[-0.16198054 -1.16940846 -0.36856712 -1.3077417  -0.43545132  0.17914124  0.          0.        ],497,0.9021499668819,[-0.16198054 -1.16940846 -0.36856712 -1.3077417  -0.43545132  0.17914124  0.          0.          0.          0.        ],577,0.9021499668819,[-0.16198054 -1.16940846 -0.36856712 -1.3077417  -0.43545132  0.17914124  0.          0.          0.          0.          0.          0.        ],27,0.9021499668819,[-0.16198054 -1.16940846 -0.36856712 -1.3077417  -0.43545132  0.17914124  0.          0.          0.          0.          0.          0.          0.          0.        ],29,0.9452907223665188,[ 0.21963053  2.09704137 -0.04060289  0.82818633 -0.44522347  1.90440665  1.64115868  0.05986226  1.1340021   0.21595551  0.92319289  0.01729874  1.81575946  0.16220519  1.13630028 -0.1193537 ],1954,0.9452907223665188,[ 0.21963053  2.09704137 -0.04060289  0.82818633 -0.44522347  1.90440665  1.64115868  0.05986226  1.1340021   0.21595551  0.92319289  0.01729874  1.81575946  0.16220519  1.13630028 -0.1193537   0.          0.        ],1090,0.9452907223665188,[ 0.21963053  2.09704137 -0.04060289  0.82818633 -0.44522347  1.90440665  1.64115868  0.05986226  1.1340021   0.21595551  0.92319289  0.01729874  1.81575946  0.16220519  1.13630028 -0.1193537   0.          0.          0.          0.        ],6841
graphs/new/nodes_9/depth_3//5.gml,0.6445924459986678,[1.97945341 1.0759852 ],53,0.7718210020195616,[0.25223574 1.21769568 1.12408623 0.08546831],89,0.7718210020195616,[0.25223574 1.21769568 1.12408623 0.08546831 0.         0.        ],25,0.7718210020195616,[0.25223574 1.21769568 1.12408623 0.08546831 0.         0.         0.         0.        ],246,0.8219934211269571,[ 0.23516548  2.94993852  1.30140856  1.50962324  1.28724116  1.84739485  2.23630922 -0.03776115  2.08821923 -0.0140081 ],601,0.9001860049993401,[-0.14756716 -2.64680533 -0.36314553 -0.49754404 -0.95095379  0.01297272 -2.12181426 -0.65399257 -0.93691925 -1.5253795  -2.66393998  0.19580133],1303,0.9001860049993401,[-0.14756716 -2.64680533 -0.36314553 -0.49754404 -0.95095379  0.01297272 -2.12181426 -0.65399257 -0.93691925 -1.5253795  -2.66393998  0.19580133  0.          0.        ],1295,0.9001860049993401,[-0.14756716 -2.64680533 -0.36314553 -0.49754404 -0.95095379  0.01297272 -2.12181426 -0.65399257 -0.93691925 -1.5253795  -2.66393998  0.19580133  0.          0.          0.          0.        ],1669,0.9354427232200632,[ 0.16061192  1.02367045  0.29877846  1.1009119   0.33639764 -0.35827622  0.45353339  2.06950201  1.50348451  0.79003304  0.55520372  0.75945926  1.57277858  0.79128522  0.79469804  0.06483055  1.58889837 -0.05915468],3001,0.9562655826969217,[ 0.15944695  1.00685736  0.27915029  1.10231508  0.38599223  0.55697352 -0.06387482  0.57524877  0.41879732  1.25489539  0.91324315 -0.05400568  0.63400868 -0.04872334  0.37025469 -0.06183413  1.64276345 -0.2112958   1.3071801   0.07521558],2120
graphs/new/nodes_9/depth_3//6.gml,0.6785714285711923,[0.78539759 0.78539759],17,0.8453387596217338,[-0.2021732  -1.28336975 -1.11290227 -0.15975546],92,0.8453387596217338,[-0.2021732  -1.28336975 -1.11290227 -0.15975546  0.          0.        ],21,0.9288429985144196,[0.17741394 1.02256455 0.30933542 1.33658675 1.31987204 0.04174638 1.31619921 0.17489583],394,0.9294457936543298,[-0.17698176 -1.01854887 -0.3127088  -1.34383191 -1.10194175  0.16153375 -0.05255419 -0.17379726 -1.47568718 -0.18912489],1806,0.9294457936543298,[-0.17698176 -1.01854887 -0.3127088  -1.34383191 -1.10194175  0.16153375 -0.05255419 -0.17379726 -1.47568718 -0.18912489  0.          0.        ],716,0.9494434968347616,[ 0.18623053 -1.00510523 -0.03492584 -2.35477903 -0.39132185 -1.18358425 -0.32132343 -1.38362176 -1.08623435 -0.57158451 -1.50507714 -0.13507664 -1.63355535  0.5834636 ],1666,0.9611034011490018,[ 0.61307649 -3.12224813 -0.48198676  2.68206842  1.49437332  1.34781441  0.28983886  0.66616858  3.10515243  2.20518257  1.24343896  0.33977341  2.83613249  0.26074942  2.81524943  0.15884915],2942,0.9672224065808892,[ 0.13842807  2.61822874  0.24922618  2.7570806   0.37074647  2.06634318  1.37784099  1.52718829  1.70467375  0.76276701  1.57301029  1.62472836  2.03539505  1.42246244  1.76044246  0.47370739 -3.11546131 -0.44032684],3457,0.9672224065808892,[ 0.13842807  2.61822874  0.24922618  2.7570806   0.37074647  2.06634318  1.37784099  1.52718829  1.70467375  0.76276701  1.57301029  1.62472836  2.03539505  1.42246244  1.76044246  0.47370739 -3.11546131 -0.44032684  0.          0.        ],1654
graphs/new/nodes_9/depth_3//7.gml,0.7082953257015385,[-1.26469701 -0.58723771],45,0.7082953257015385,[-1.26469701 -0.58723771  0.          0.        ],105,0.8142272644218398,[ 0.23795946  2.82705319  1.5924936   2.21953916 -3.05270615  0.87562736],343,0.8142272644218398,[ 0.23795946  2.82705319  1.5924936   2.21953916 -3.05270615  0.87562736  0.          0.        ],25,0.8828004401655963,[-0.17999284 -1.00830276 -0.29837484 -1.37559243 -1.35584517 -0.02247941 -1.30325525 -0.21033979 -2.02904065  0.02898713],887,0.903295110052484,[ 0.15674276  0.99526527  0.30154402  1.4038326   1.70731747 -0.04505159 -0.18142185  1.61130093  1.14981169  0.28960528 -0.47832728  0.17546503],1864,0.903295110052484,[ 0.15674276  0.99526527  0.30154402  1.4038326   1.70731747 -0.04505159 -0.18142185  1.61130093  1.14981169  0.28960528 -0.47832728  0.17546503  0.          0.        ],1411,0.903295110052484,[ 0.15674276  0.99526527  0.30154402  1.4038326   1.70731747 -0.04505159 -0.18142185  1.61130093  1.14981169  0.28960528 -0.47832728  0.17546503  0.          0.          0.          0.        ],37,0.9344277881639536,[-0.21341366  2.75005413  0.06967711  2.52406898 -0.36122377  0.34242677  2.05101599  1.53811273  0.79675067  0.23694826  1.64668147  1.49136609  1.06855319  0.15902707  1.49792705 -0.06652696  2.49681415 -0.08889917],5118,0.9596973379058173,[-0.11618071 -1.08265703 -0.22884334 -1.20312665 -0.24262023 -1.2494934  -0.27160421 -1.2915548  -0.28903468 -1.31035836 -0.33949414 -1.37554798 -0.8138397   0.05907713 -1.66952164 -0.03924476 -1.02685698  0.14529844 -1.54326331 -0.03455165],2353
graphs/new/nodes_9/depth_3//8.gml,0.7235337039646551,[-1.35667284 -1.19538913],49,0.7962593752594439,[ 0.21307239  1.21404027  1.45947622 -0.10303529],155,0.8607320038377435,[-0.17762583 -2.69684032 -1.72382904 -1.63407939 -1.76711976  0.27833611],359,0.8607320038377435,[-0.17762583 -2.69684032 -1.72382904 -1.63407939 -1.76711976  0.27833611  0.          0.        ],21,0.9016849993745452,[-0.15897238 -1.09248876 -0.30454395 -1.20169889 -1.23291086 -0.01150219 -1.15785823 -0.03109925 -1.10636659  0.2124782 ],852,0.9042565908900192,[ 0.15907141  2.66108929  0.30451049  1.19993122  0.94723653  1.35417658  1.40345631  0.01578193  1.77338295  0.18576618  2.52797134 -0.21995176],1927,0.9367610957274408,[-0.14370993 -1.06644102 -0.27496536 -1.15370701 -0.29445584 -1.14240406 -0.81328178  0.04530618 -1.49014799 -0.00635235 -0.75210816 -0.11670596 -0.49314993  0.20357417],1610,0.9367610957274408,[-0.14370993 -1.06644102 -0.27496536 -1.15370701 -0.29445584 -1.14240406 -0.81328178  0.04530618 -1.49014799 -0.00635235 -0.75210816 -0.11670596 -0.49314993  0.20357417  0.          0.        ],2838,0.9367610957274408,[-0.14370993 -1.06644102 -0.27496536 -1.15370701 -0.29445584 -1.14240406 -0.81328178  0.04530618 -1.49014799 -0.00635235 -0.75210816 -0.11670596 -0.49314993  0.20357417  0.          0.          0.          0.        ],1544,0.9755585476245237,[ 1.1932304   1.58377401 -1.41101075 -1.48589316  0.36403757 -1.97887682 -2.90768707 -1.96796782  0.273705   -1.91684105 -2.78226277 -0.98511499 -0.04410553 -0.92530366  2.40348427 -1.55135197 -1.97523135 -0.20895645 -2.73589478 -0.10238411],5707
graphs/new/nodes_9/depth_3//9.gml,0.6153846153846122,[0.78539823 0.78539823],25,0.7804897051760769,[-0.26015658 -1.23042295 -1.22027304 -0.03053063],97,0.8224073033699459,[0.24425618 1.37651361 1.35580675 1.56089813 1.20301862 0.24234201],378,0.8224073033699459,[0.24425618 1.37651361 1.35580675 1.56089813 1.20301862 0.24234201 0.         0.        ],323,0.8799026578272786,[0.17470698 2.53585349 0.36623688 1.41123039 1.3864531  1.58919859 1.24099497 0.30216491 2.65302074 0.16799962],887,0.926842341119033,[-0.17935618 -1.0424652  -0.30874484  0.42907195 -0.44577242 -2.08203835  0.09202302 -0.67979531 -2.52968592 -0.02572959 -1.11622457  0.17947493],2289,0.926842341119033,[-0.17935618 -1.0424652  -0.30874484  0.42907195 -0.44577242 -2.08203835  0.09202302 -0.67979531 -2.52968592 -0.02572959 -1.11622457  0.17947493  0.          0.        ],1432,0.926842341119033,[-0.17935618 -1.0424652  -0.30874484  0.42907195 -0.44577242 -2.08203835  0.09202302 -0.67979531 -2.52968592 -0.02572959 -1.11622457  0.17947493  0.          0.          0.          0.        ],2923,0.9488476164894344,[-0.2488136   2.78057809  0.10883619  0.98257763 -0.46191424  1.0220744   1.87921717  1.58888084  1.33864388  1.02509711  1.36150286  0.02588784  1.3664874   0.33169867  2.78886708  0.2588965   2.71889497  0.13605762],3365,0.9488476164894344,[-0.2488136   2.78057809  0.10883619  0.98257763 -0.46191424  1.0220744   1.87921717  1.58888084  1.33864388  1.02509711  1.36150286  0.02588784  1.3664874   0.33169867  2.78886708  0.2588965   2.71889497  0.13605762  0.          0.        ],4510
graphs/new/nodes_9/depth_3//10.gml,0.7729828216982848,[-1.32623651 -0.59789519],50,0.841190290972303,[-0.19511336 -1.27422083 -1.41434909 -0.10845951],132,0.8524000994327575,[-0.25251709 -1.7343323  -1.26752555 -0.76698223 -1.42176123 -0.317856  ],212,0.931240240712003,[-0.1210528  -1.15872217 -0.29285064 -1.15296139 -0.2858312   0.16040979 -2.69424188 -0.16654658],755,0.931240240712003,[-0.1210528  -1.15872217 -0.29285064 -1.15296139 -0.2858312   0.16040979 -2.69424188 -0.16654658  0.          0.        ],1096,0.931240240712003,[-0.1210528  -1.15872217 -0.29285064 -1.15296139 -0.2858312   0.16040979 -2.69424188 -0.16654658  0.          0.          0.          0.        ],641,0.931240240712003,[-0.1210528  -1.15872217 -0.29285064 -1.15296139 -0.2858312   0.16040979 -2.69424188 -0.16654658  0.          0.          0.          0.          0.          0.        ],939,0.931240240712003,[-0.1210528  -1.15872217 -0.29285064 -1.15296139 -0.2858312   0.16040979 -2.69424188 -0.16654658  0.          0.          0.          0.          0.          0.          0.          0.        ],2972,0.931240240712003,[-0.1210528  -1.15872217 -0.29285064 -1.15296139 -0.2858312   0.16040979 -2.69424188 -0.16654658  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],1162,0.931240240712003,[-0.1210528  -1.15872217 -0.29285064 -1.15296139 -0.2858312   0.16040979 -2.69424188 -0.16654658  0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.        ],2118
graphs/new/nodes_9/depth_3//11.gml,0.6666666666666621,[-3.13358114e-08 -3.13358114e-08],15,0.8776996846150334,[-0.18066771 -1.12749382 -0.35634618  0.27235476],122,0.8776996846150334,[-0.18066771 -1.12749382 -0.35634618  0.27235476  0.          0.        ],23,0.8873204031877184,[-0.17339483 -2.68141829 -0.32726792 -1.29087448 -1.91547515 -1.48144663 -2.29765833 -0.04130476],550,0.9159778081231872,[ 0.22001482  1.41564558  2.57277698  1.31252662  0.2044862   0.68909004  0.24681168 -0.25265346  0.97053848  0.06559606],1027,0.9284234553950016,[ 0.24494176  1.95483315 -0.09293442  2.17625414  0.4904816   2.03684353  3.06715161  0.78497808  1.87575389 -0.55270859  3.10194602  0.49663771],1318,0.9284234553950016,[ 0.24494176  1.95483315 -0.09293442  2.17625414  0.4904816   2.03684353  3.06715161  0.78497808  1.87575389 -0.55270859  3.10194602  0.49663771  0.          0.        ],37,0.9567652027765394,[-0.1712531  -0.94526337 -0.2564739  -1.03717532 -0.36517725 -0.63014032  0.04464906 -0.7788279  -1.12721612 -1.55409604 -1.60867096 -0.3976746  -2.69386354 -0.15258071 -0.59163819  0.16629674],2033,0.9567652027765394,[-0.1712531  -0.94526337 -0.2564739  -1.03717532 -0.36517725 -0.63014032  0.04464906 -0.7788279  -1.12721612 -1.55409604 -1.60867096 -0.3976746  -2.69386354 -0.15258071 -0.59163819  0.16629674  0.          0.        ],1225,0.9567652027765394,[-0.1712531  -0.94526337 -0.2564739  -1.03717532 -0.36517725 -0.63014032  0.04464906 -0.7788279  -1.12721612 -1.55409604 -1.60867096 -0.3976746  -2.69386354 -0.15258071 -0.59163819  0.16629674  0.          0.          0.          0.        ],2498
graphs/new/nodes_9/depth_3//12.gml,0.7352941176470603,[-8.9091256e-09 -8.9091256e-09],17,0.8593757766699059,[0.28554172 2.87560397 1.39006064 0.81649986],158,0.8593757766699059,[0.28554172 2.87560397 1.39006064 0.81649986 0.         0.        ],298,0.8593757766699059,[0.28554172 2.87560397 1.39006064 0.81649986 0.         0.         0.         0.        ],295,0.9193966958017612,[0.15947706 1.06971375 0.2918301  1.38353639 1.08063565 0.004727   1.13864566 0.00764354 0.41845281 0.16661498],940,0.9193966958017612,[0.15947706 1.06971375 0.2918301  1.38353639 1.08063565 0.004727   1.13864566 0.00764354 0.41845281 0.16661498 0.         0.        ],950,0.9193966958017612,[0.15947706 1.06971375 0.2918301  1.38353639 1.08063565 0.004727   1.13864566 0.00764354 0.41845281 0.16661498 0.         0.         0.         0.        ],970,0.9309788263151804,[-0.1521524  -1.42826431 -1.19856595 -0.74772339  0.08020656 -2.33191767 -0.90754975 -1.55601043 -0.67006952 -0.31115107 -1.21600439 -0.74544952 -1.46051497 -0.18091271 -1.62844463  0.73299727],2207,0.9309788263151804,[-0.1521524  -1.42826431 -1.19856595 -0.74772339  0.08020656 -2.33191767 -0.90754975 -1.55601043 -0.67006952 -0.31115107 -1.21600439 -0.74544952 -1.46051497 -0.18091271 -1.62844463  0.73299727  0.          0.        ],2196,0.9309788263151804,[-0.1521524  -1.42826431 -1.19856595 -0.74772339  0.08020656 -2.33191767 -0.90754975 -1.55601043 -0.67006952 -0.31115107 -1.21600439 -0.74544952 -1.46051497 -0.18091271 -1.62844463  0.73299727  0.          0.          0.          0.        ],2370
graphs/new/nodes_9/depth_3//13.gml,0.6363636363636258,[4.22444727e-08 4.22444727e-08],13,0.6363636363636357,[0.78539812 2.35619435 2.35619435 0.78539812],19,0.8468918405143906,[0.28588999 2.77156483 1.5545862  1.60739749 2.56809267 0.03037974],302,0.8468918405143906,[0.28588999 2.77156483 1.5545862  1.60739749 2.56809267 0.03037974 0.         0.        ],23,0.9664256951608852,[-0.27891756  1.66254367  0.49215093  1.12831603  0.36612594  1.24626935  1.00144715 -0.05003239  2.5954187  -0.16989322],877,0.9664256951608852,[-0.27891756  1.66254367  0.49215093  1.12831603  0.36612594  1.24626935  1.00144715 -0.05003239  2.5954187  -0.16989322  0.          0.        ],25,0.9664256951608852,[-0.27891756  1.66254367  0.49215093  1.12831603  0.36612594  1.24626935  1.00144715 -0.05003239  2.5954187  -0.16989322  0.          0.          0.          0.        ],1835,0.9756653370554316,[ 0.2985748  -1.33420522 -0.09653117 -1.2380583  -0.06540002 -1.20699006  0.57241795 -2.57275462 -0.05822779  0.70622249 -1.37823963 -1.52290159 -1.18003964 -0.1062198  -1.3546941   0.08602074],2171,0.9756653370554316,[ 0.2985748  -1.33420522 -0.09653117 -1.2380583  -0.06540002 -1.20699006  0.57241795 -2.57275462 -0.05822779  0.70622249 -1.37823963 -1.52290159 -1.18003964 -0.1062198  -1.3546941   0.08602074  0.          0.        ],2710,0.9777100721807322,[-0.15986915 -1.01481689 -0.36648416 -0.92769462 -1.48361036 -1.63796029  1.16134364  0.09203788 -1.30845534 -0.03762248 -1.39768328 -0.31863426 -1.4713939   0.11306303 -0.82571295  0.36078037 -1.61991865  0.12429623 -1.56194837 -0.44090889],3013
graphs/new/nodes_9/depth_3//14.gml,0.6949755954302322,[1.28057717 1.15296462],39,0.7750687664566105,[1.53323475 1.36814893 1.36552728 0.30952274],166,0.7750687664566105,[1.53323475 1.36814893 1.36552728 0.30952274 0.         0.        ],19,0.8973763892447739,[-0.17147616 -1.07475668 -0.31755547 -1.160729   -0.36269196  0.23060838 -1.76986611 -0.06761746],320,0.8973763892447739,[-0.17147616 -1.07475668 -0.31755547 -1.160729   -0.36269196  0.23060838 -1.76986611 -0.06761746  0.          0.        ],27,0.8973763892447739,[-0.17147616 -1.07475668 -0.31755547 -1.160729   -0.36269196  0.23060838 -1.76986611 -0.06761746  0.          0.          0.          0.        ],31,0.9316128913373924,[ 0.15647839  1.06575558  0.29359587  1.14844056  0.87664651  1.59080407  0.71593101 -0.67031494  0.01277845  0.69538819  1.85960883 -0.32505947  0.34237313  1.35412115],2077,0.9541872665193512,[-0.1944502  -3.04809609  0.36476153 -1.95670358 -1.70746835 -1.51156477 -1.10741162 -2.59591605 -1.60413342 -1.51236464 -1.60406658 -1.00035054 -2.74932764 -0.29758991 -2.80046416 -0.17246301],3807,0.9541872665193512,[-0.1944502  -3.04809609  0.36476153 -1.95670358 -1.70746835 -1.51156477 -1.10741162 -2.59591605 -1.60413342 -1.51236464 -1.60406658 -1.00035054 -2.74932764 -0.29758991 -2.80046416 -0.17246301  0.          0.        ],1916,0.9791053470583314,[ 0.1173338   1.06384699  0.23554279  1.17534547  0.24996473  1.21273378  0.29615301  1.21899514  0.32289942  1.34440535  1.63542194  0.01629639  1.029869    0.05777862  1.2862295  -0.06375847  1.30866345  0.03669876  1.40592873 -0.15365867],2914
graphs/new/nodes_9/depth_3//15.gml,0.774854151071916,[1.37066141 0.45166975],99,0.774854151071916,[1.37066141 0.45166975 0.         0.        ],23,0.774854151071916,[1.37066141 0.45166975 0.         0.         0.         0.        ],25,0.774854151071916,[1.37066141 0.45166975 0.         0.         0.         0.         0.         0.        ],29,0.774854151071916,[1.37066141 0.45166975 0.         0.         0.         0.         0.         0.         0.         0.        ],29,0.9126200390102104,[ 0.16292058  3.00984751 -0.36230876 -1.29638066 -0.38383875 -2.24554486 -1.24785326 -1.50116073 -3.04418791 -0.05974823 -1.94488757  0.9056424 ],1530,0.9281434215890058,[-0.13608548 -2.73510816  0.79446516 -1.5852299  -1.05348294 -1.33614    -0.98873472 -1.6222246  -2.4437862  -1.38011691 -2.14832859 -0.05836933 -1.44676326  0.16736988],1250,0.9281434215890058,[-0.13608548 -2.73510816  0.79446516 -1.5852299  -1.05348294 -1.33614    -0.98873472 -1.6222246  -2.4437862  -1.38011691 -2.14832859 -0.05836933 -1.44676326  0.16736988  0.          0.        ],6038,0.9281434215890058,[-0.13608548 -2.73510816  0.79446516 -1.5852299  -1.05348294 -1.33614    -0.98873472 -1.6222246  -2.4437862  -1.38011691 -2.14832859 -0.05836933 -1.44676326  0.16736988  0.          0.          0.          0.        ],2916,0.9368317067641251,[-0.16530187  1.68926519  0.34556411  1.25122457  0.29007224  1.30096793  0.50140881  1.84168789  1.37422649  0.57046447  1.60341404  0.45850954  1.54803996  0.97616675  1.51750354  1.10675839  1.7578989   0.04884411  1.51952254 -0.48605288],3357
